;2018;2019;2020
domingo;11283;11298;10420
sábado;11239;11099;10667
sexta-feira;10632;10381;9764
segunda-feira;9422;9134;8519
quinta-feira;9230;8755;8244
quarta-feira;8824;8374;8155
terça-feira;8665;8405;7779
